City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
59,Samarai,PG,2022-05-23 02:34:26,-10.6167,150.6667,83.07,72,17,8.55,few clouds
60,East London,ZA,2022-05-23 02:34:26,-33.0153,27.9116,59.27,79,58,3.89,broken clouds
61,Bengkulu,ID,2022-05-23 02:34:27,-3.8004,102.2655,83.39,70,81,2.73,broken clouds
62,Castro,BR,2022-05-23 02:34:27,-24.7911,-50.0119,49.23,79,97,3.09,overcast clouds
63,Airai,TL,2022-05-23 02:34:27,-8.9266,125.4092,73.81,47,9,5.14,clear sky
64,New Norfolk,AU,2022-05-23 02:34:28,-42.7826,147.0587,59.92,58,8,1.99,clear sky
65,Bluff,NZ,2022-05-23 02:34:28,-46.6,168.3333,50.81,77,99,28.79,overcast clouds
66,Leningradskiy,RU,2022-05-23 02:34:29,69.3833,178.4167,38.21,89,34,1.48,scattered clouds
67,Geraldton,AU,2022-05-23 02:34:29,-28.7667,114.6,70.21,68,40,23.02,scattered clouds
68,Inuvik,CA,2022-05-23 02:29:54,68.3499,-133.7218,30.96,59,40,11.5,scattered clouds
69,Qaanaaq,GL,2022-05-23 02:33:49,77.484,-69.3632,26.56,80,100,8.28,overcast clouds
70,Vaini,TO,2022-05-23 02:34:30,-21.2,-175.2,82.56,83,40,8.05,scattered clouds
71,Hilo,US,2022-05-23 02:31:19,19.7297,-155.09,82.27,80,100,11.5,overcast clouds
72,Sonari,IN,2022-05-23 02:34:31,27.0667,95.0333,80.65,73,97,0.22,overcast clouds
73,Najran,SA,2022-05-23 02:34:31,17.4924,44.1277,70.45,14,8,4.56,clear sky
74,Isiro,CD,2022-05-23 02:34:31,2.7739,27.616,65.77,99,100,2.17,overcast clouds
75,Harper,LR,2022-05-23 02:34:32,4.375,-7.7169,76.35,88,100,6.69,overcast clouds
76,Astana,KZ,2022-05-23 02:32:26,51.1801,71.446,53.55,50,0,20.13,clear sky
77,Kavieng,PG,2022-05-23 02:34:32,-2.5744,150.7967,85.95,62,60,15.1,broken clouds
78,Cherskiy,RU,2022-05-23 02:34:33,68.75,161.3,58.14,35,100,15.93,overcast clouds
79,Kruisfontein,ZA,2022-05-23 02:34:33,-34.0033,24.7314,54.19,75,89,4.03,overcast clouds
80,Axim,GH,2022-05-23 02:34:33,4.8699,-2.2405,74.84,89,97,5.5,overcast clouds
81,La Maddalena,IT,2022-05-23 02:34:34,41.2142,9.4083,59.16,59,7,1.97,clear sky
82,Hibbing,US,2022-05-23 02:34:34,47.4272,-92.9377,47.55,41,100,0.0,overcast clouds
83,Nanortalik,GL,2022-05-23 02:34:35,60.1432,-45.2371,34.84,89,83,11.79,light snow
84,Lompoc,US,2022-05-23 02:31:00,34.6391,-120.4579,62.74,79,75,24.0,haze
85,Klaksvik,FO,2022-05-23 02:34:35,62.2266,-6.589,47.32,85,53,9.28,broken clouds
86,Ponta Do Sol,PT,2022-05-23 02:34:36,32.6667,-17.1,66.83,67,32,5.77,scattered clouds
87,Yellowknife,CA,2022-05-23 02:30:16,62.456,-114.3525,36.12,64,100,8.05,light snow
88,Torbay,CA,2022-05-23 02:34:37,47.6666,-52.7314,54.37,59,100,17.27,overcast clouds
89,Carnarvon,AU,2022-05-23 02:34:37,-24.8667,113.6333,72.68,54,11,16.31,few clouds
90,Egvekinot,RU,2022-05-23 02:34:37,66.3167,-179.1667,50.38,44,100,2.91,overcast clouds
91,Northam,GB,2022-05-23 02:34:38,51.0333,-4.2167,54.39,92,68,7.16,broken clouds
92,Mahebourg,MU,2022-05-23 02:34:38,-20.4081,57.7,73.69,73,40,5.75,scattered clouds
93,Urucara,BR,2022-05-23 02:34:39,-2.5364,-57.76,72.52,96,9,2.73,clear sky
94,Kazachinskoye,RU,2022-05-23 02:35:39,57.6953,93.2761,65.46,44,1,7.34,clear sky
95,Kutum,SD,2022-05-23 02:35:39,14.2,24.6667,71.24,22,10,7.07,clear sky
96,Saint-Philippe,RE,2022-05-23 02:35:40,-21.3585,55.7679,69.39,73,32,7.27,scattered clouds
97,Port Elizabeth,ZA,2022-05-23 02:35:40,-33.918,25.5701,50.29,100,0,0.0,clear sky
98,Awjilah,LY,2022-05-23 02:35:41,29.1081,21.2869,65.59,34,0,3.85,clear sky
99,Cayenne,GF,2022-05-23 02:35:41,4.9333,-52.3333,82.09,1,75,4.0,broken clouds
100,Dunedin,NZ,2022-05-23 02:35:41,-45.8742,170.5036,55.8,43,11,11.99,few clouds
101,Ixtapa,MX,2022-05-23 02:33:52,20.7,-105.2,76.23,83,0,8.05,clear sky
102,Pevek,RU,2022-05-23 02:35:08,69.7008,170.3133,36.52,91,80,6.6,broken clouds
103,Olafsvik,IS,2022-05-23 02:35:42,64.8945,-23.7142,40.95,71,0,12.97,clear sky
104,Souillac,MU,2022-05-23 02:35:43,-20.5167,57.5167,73.78,73,40,5.75,scattered clouds
105,Zabaykalsk,RU,2022-05-23 02:35:43,49.6333,117.3167,59.18,61,95,17.72,moderate rain
